geo_id,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
06081605800,6,5,2,5,0,1,1,1,2,1,1,2,0,1,0,2,1,0,1,1,0,0,0,0,0,0,1
06081605900,7,8,1,0,3,0,0,0,2,0,3,1,3,1,2,1,5,4,1,1,0,4,0,0,2,0,0
06081606000,5,9,3,1,1,0,0,0,1,6,2,4,8,1,6,8,3,6,5,0,2,2,4,2,6,6,1
06081606100,2,2,1,1,0,0,0,0,0,3,2,2,0,4,1,1,0,2,3,0,1,2,9,8,4,3,0
06081606200,5,11,0,1,1,1,3,2,2,2,4,5,4,3,0,4,2,9,4,0,2,3,6,4,3,3,2
06081606300,1,18,5,3,1,2,2,0,0,0,0,0,2,0,1,1,1,0,2,2,0,2,1,0,1,1,2
06081606400,7,9,2,1,0,1,1,0,0,0,0,0,0,0,1,3,3,7,1,0,2,0,0,1,1,0,0
06081606500,10,3,1,0,0,0,1,1,1,3,1,3,0,0,0,3,0,3,0,2,0,0,1,1,2,0,0
06081606600,4,3,0,0,2,1,0,0,0,0,1,0,1,1,0,0,4,4,1,1,1,2,1,0,1,2,0
06081606700,2,6,0,0,0,0,1,0,1,0,0,0,1,1,0,2,2,1,1,0,2,1,0,0,1,0,0
06081606800,4,5,1,0,2,0,0,2,2,1,0,1,3,2,1,0,1,0,2,2,0,1,2,1,0,0,0
06081606900,3,3,1,3,1,1,0,0,1,0,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0
06081607000,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0
06081607100,2,5,2,1,2,2,0,0,0,0,6,2,1,0,1,0,2,2,2,1,0,1,0,0,1,2,0
06081607200,0,3,0,0,1,0,1,1,1,2,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,0
06081607300,1,7,2,0,1,1,3,2,1,0,0,0,2,1,0,1,0,5,2,0,2,0,1,0,0,3,1
06081607400,4,5,1,0,2,7,3,0,0,3,3,3,5,1,2,0,6,4,2,7,0,1,0,1,2,3,2
06081607500,0,2,1,1,0,1,0,0,0,1,0,0,1,0,0,1,2,2,2,2,1,3,1,2,2,1,0
06081607600,1,5,1,0,0,2,1,0,1,2,0,0,3,1,1,2,1,2,2,1,1,3,3,1,1,1,0
06081607701,2,7,4,4,2,1,1,1,0,2,1,1,0,0,1,1,4,0,2,5,3,1,1,5,4,2,3
06081607702,1,4,3,0,0,0,0,0,0,1,3,1,3,1,0,0,0,2,1,1,0,6,7,3,4,5,0
06081607800,2,4,0,0,0,1,0,0,0,1,1,1,2,1,0,3,2,1,1,1,1,2,4,2,4,2,3
06081607900,4,14,0,0,3,3,2,1,1,3,0,6,1,1,1,1,5,5,3,1,0,0,1,3,4,0,0
06081608001,1,13,3,2,2,2,1,0,1,3,0,1,2,0,3,1,4,2,0,1,0,0,0,2,0,1,1
06081608002,8,9,4,1,4,1,1,2,1,4,3,2,2,1,3,2,1,1,2,3,1,1,2,2,1,0,2
06081608004,4,9,0,2,2,3,2,0,1,2,6,7,5,3,4,3,4,8,3,0,0,2,3,1,0,1,1
06081608013,7,15,1,2,0,1,3,0,2,1,0,2,3,3,3,3,4,3,2,1,0,0,2,3,1,0,0
06081608023,1,2,1,1,0,3,1,1,1,0,0,2,1,1,0,3,0,0,1,3,0,0,2,2,0,1,0
06081608100,3,5,2,2,2,1,3,2,3,0,1,2,2,3,0,2,2,6,1,3,1,0,0,0,0,5,2
06081608200,2,5,3,0,0,1,0,0,2,0,2,0,2,1,0,0,0,0,1,1,1,1,2,1,1,2,0
06081608300,7,2,2,0,4,0,0,1,0,2,1,1,3,0,1,0,0,2,0,0,1,0,0,0,0,2,0
06081608400,7,5,2,3,3,0,0,1,1,1,3,2,4,2,4,1,2,1,0,4,3,0,4,2,4,2,1
06081608501,2,5,3,1,2,1,2,1,1,1,2,2,0,1,0,2,1,2,4,1,2,1,3,6,3,4,0
06081608502,3,9,4,5,0,1,2,0,0,3,2,3,1,1,0,0,1,0,1,0,1,2,1,2,1,1,2
06081608600,0,2,0,3,2,2,0,1,1,1,2,2,1,2,0,1,0,0,0,3,1,3,3,4,3,1,1
06081608700,6,10,4,3,5,2,1,0,3,2,2,1,0,2,4,3,2,5,4,4,0,1,3,2,3,3,1
06081608800,2,9,5,2,3,1,1,1,1,3,1,2,1,2,3,1,0,3,1,2,1,1,1,0,3,0,1
06081608900,4,5,2,0,2,0,1,0,1,2,1,1,0,0,1,1,2,0,0,1,0,0,1,2,1,1,0
06081609000,2,3,2,1,2,1,0,0,0,2,2,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0
06081609100,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0
06081609201,6,6,0,2,1,1,1,0,0,3,2,3,1,0,1,6,1,1,2,1,0,0,0,2,0,1,0
06081609202,1,6,3,5,3,3,0,1,1,0,1,2,3,1,1,1,2,0,0,1,0,0,1,0,1,4,0
06081609300,2,3,4,3,4,1,3,1,1,0,2,2,1,0,1,4,0,0,3,1,2,1,1,1,1,0,0
06081609400,3,5,3,1,4,2,2,1,1,1,2,3,2,1,0,4,2,1,0,0,1,1,1,0,2,1,1
06081609500,2,6,3,2,1,3,3,2,2,2,2,2,3,0,1,2,5,0,1,3,3,2,4,3,2,0,0
06081609601,1,13,1,2,1,3,3,1,1,2,1,2,2,2,1,1,1,1,1,2,3,0,0,1,1,0,0
06081609602,0,4,1,0,1,1,1,3,0,0,1,2,1,1,1,1,2,0,0,0,0,1,0,0,1,0,1
06081609603,7,4,4,3,0,2,2,0,4,7,4,2,0,0,1,0,2,7,3,1,2,1,2,0,3,1,0
06081609700,10,9,1,3,0,3,2,3,1,3,1,1,4,0,4,0,3,4,1,1,0,1,1,1,1,1,0
06081609800,3,4,2,1,1,1,1,1,3,1,6,1,5,1,3,2,7,8,2,0,0,5,4,2,2,7,3
06081609900,2,4,2,3,1,2,0,0,2,1,1,3,1,2,1,2,1,1,5,0,2,1,3,1,0,3,2
06081610000,2,6,0,2,0,1,2,0,0,0,1,1,5,0,4,2,3,3,6,0,1,2,1,5,2,2,1
06081610100,0,0,2,1,0,1,0,0,1,0,1,0,3,1,0,0,2,1,0,1,0,3,0,0,4,3,0
06081610201,3,3,0,1,0,1,1,3,0,0,1,0,1,2,0,0,3,1,1,1,1,2,3,4,0,1,1
06081610202,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
06081610203,0,0,1,0,0,0,0,0,0,0,2,0,0,4,0,0,4,4,0,0,0,0,4,0,0,1,0
06081610302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06081610303,7,11,7,5,0,4,1,3,10,10,13,9,8,5,3,3,7,4,2,5,2,1,0,26,3,2,2
06081610304,10,21,6,2,3,1,3,2,5,7,6,5,5,3,0,4,3,5,2,2,0,1,4,7,1,5,0
06081610400,3,9,3,3,1,0,1,3,1,0,2,4,1,0,0,3,2,5,1,0,1,7,6,6,7,2,2
06081610500,4,11,4,3,1,1,0,2,1,1,2,3,0,1,0,0,6,2,4,0,0,5,8,4,4,3,3
06081610601,2,4,3,0,4,4,1,0,2,0,1,0,1,1,0,0,0,1,1,0,0,4,5,3,5,1,2
06081610602,3,4,1,2,6,2,3,1,2,1,1,1,3,0,1,1,4,0,1,0,2,2,1,5,3,6,0
06081610700,1,1,1,3,2,4,1,3,1,1,0,0,0,0,0,1,3,1,2,1,1,0,1,3,2,3,0
06081610800,1,4,2,0,0,1,1,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,3,0,0,0,0
06081610900,4,9,5,0,5,2,0,2,2,1,2,2,2,2,1,2,2,2,4,2,0,5,3,2,2,9,0
06081611000,7,5,4,1,1,4,0,3,1,3,1,1,1,0,1,5,5,0,3,5,1,4,3,2,3,7,0
06081611100,4,16,2,0,1,1,1,2,6,3,1,1,5,1,2,1,4,2,1,2,1,2,0,2,6,2,3
06081611200,1,5,2,1,2,4,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,2,3,2,3,3,0
06081611300,5,7,4,6,3,2,1,5,2,1,0,1,1,1,0,4,4,1,0,1,0,2,4,1,5,1,1
06081611400,6,16,4,1,2,2,2,0,2,0,0,3,2,0,1,0,0,0,1,1,1,0,0,1,3,0,0
06081611500,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
06081611600,2,6,2,2,1,0,0,1,0,0,0,2,0,0,1,2,1,0,2,2,1,0,2,0,0,2,0
06081611700,3,7,8,2,1,1,2,3,2,3,1,1,1,1,1,3,6,4,6,2,1,4,16,12,15,9,0
06081611800,1,7,4,2,1,0,1,3,0,3,2,3,1,1,3,1,1,8,3,1,1,11,13,9,6,2,0
06081611900,2,7,6,3,0,2,1,3,0,0,5,2,3,0,3,6,9,6,9,2,2,15,15,19,18,7,1
06081612000,1,13,6,2,0,2,2,5,0,3,4,3,1,1,0,6,7,7,8,3,4,11,19,16,5,7,2
06081612100,0,3,31,0,1,0,1,2,2,2,1,0,3,1,1,2,0,4,5,5,2,1,4,1,2,1,1
06081612500,1,2,0,3,1,2,0,0,2,4,0,2,0,0,1,1,3,1,0,0,0,1,1,0,1,1,0
06081612600,1,7,3,1,2,5,4,1,1,1,1,1,1,1,1,1,0,2,0,3,0,0,1,4,0,2,1
06081612700,5,3,3,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0
06081612800,3,1,1,5,3,2,0,0,4,1,0,1,0,0,0,2,0,2,1,1,0,1,2,1,1,0,1
06081612900,3,5,1,2,1,3,3,2,4,1,0,2,2,1,0,0,4,2,2,2,0,1,0,2,1,2,0
06081613000,2,2,2,1,1,1,0,1,1,1,2,0,0,0,0,2,1,1,1,0,1,1,0,0,0,1,0
06081613200,1,5,4,2,2,3,1,0,1,2,2,1,0,0,0,1,0,1,0,1,0,0,2,0,1,0,1
06081613300,2,5,0,1,3,1,1,1,0,2,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
06081613400,3,4,0,3,0,1,0,2,1,0,3,0,0,1,1,0,1,2,2,1,0,0,0,0,0,0,0
06081613501,3,15,5,2,1,0,7,3,0,1,3,1,1,2,0,0,2,2,1,0,1,2,2,1,4,1,0
06081613502,10,14,4,1,6,1,6,5,4,11,5,7,3,4,2,2,8,2,2,0,0,0,0,4,3,4,0
06081613600,5,12,5,2,5,3,2,0,1,4,1,5,5,1,2,3,3,1,0,2,0,1,3,2,1,6,1
06081613700,18,21,6,0,6,3,3,3,1,4,7,1,3,3,3,7,7,3,2,2,1,2,4,6,6,4,1
06081613800,4,4,1,3,1,3,2,0,0,1,1,1,0,0,0,1,4,0,1,0,1,0,0,1,0,0,1
06081613900,2,3,2,1,2,2,1,0,0,2,3,3,0,1,1,4,1,0,1,1,1,0,0,1,0,2,0
06081614000,6,5,2,1,3,3,0,2,1,1,3,4,3,0,0,3,3,5,6,5,0,1,5,0,3,5,1
06085120500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06085121000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06085443301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06085500100,1,2,0,1,1,0,1,0,0,1,2,1,4,1,0,4,5,14,5,0,0,2,7,4,12,8,1
06085500200,1,2,2,0,0,4,1,2,0,0,1,0,1,1,0,2,4,2,0,2,0,2,3,3,4,1,0
06085500300,3,2,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,2,0,1,0,4,6,2,2,1,0
06085500400,0,2,1,2,2,0,1,0,3,0,1,4,2,4,1,0,0,2,0,2,0,1,2,1,0,0,2
06085500500,7,6,3,0,2,0,3,0,1,1,3,5,5,2,0,1,1,7,4,2,0,3,5,0,4,4,0
06085500600,2,8,2,0,1,2,0,1,0,3,1,3,1,6,1,2,2,4,7,1,1,1,3,0,5,1,1
06085500800,1,3,0,0,0,0,1,0,1,0,3,0,2,0,0,1,1,1,1,0,0,0,4,3,1,2,3
06085500901,1,0,0,0,0,0,0,0,1,1,2,3,1,0,0,1,4,3,3,2,0,0,5,2,3,3,1
06085500902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0
06085501000,3,2,0,1,1,1,1,4,2,1,2,1,1,1,1,1,6,5,4,1,2,1,1,4,8,1,1
06085501101,1,1,1,1,0,1,12,2,1,1,1,2,1,1,0,1,3,11,0,1,3,2,2,4,4,2,2
06085501102,2,1,2,0,2,1,2,3,1,4,1,1,1,3,0,1,4,6,2,2,2,5,9,7,9,2,2
06085501200,3,6,0,0,0,1,0,2,2,2,1,0,1,3,3,3,1,6,5,2,2,6,5,4,6,3,0
06085501300,4,4,6,1,3,1,4,2,2,2,2,2,3,0,0,0,1,2,1,2,0,1,2,1,1,2,0
06085501401,0,4,3,1,1,0,0,1,0,1,1,2,3,0,0,2,1,2,0,0,0,3,2,6,2,3,0
06085501402,0,4,0,1,0,0,0,1,2,1,7,0,3,0,2,5,2,2,2,1,0,6,2,1,4,2,0
06085501501,0,2,1,0,1,0,1,0,0,1,1,2,2,1,0,2,3,3,1,0,0,3,11,4,3,1,1
06085501502,1,2,1,0,0,0,0,1,1,3,0,1,0,2,0,1,3,5,3,0,2,1,5,8,4,1,1
06085501600,2,5,1,4,0,0,0,0,2,2,2,3,1,1,0,2,7,4,5,2,1,3,4,5,5,0,1
06085501700,2,2,0,0,1,1,0,0,1,4,3,2,3,6,1,1,3,5,0,2,1,2,2,4,0,0,0
06085501800,12,9,6,3,0,3,1,2,5,3,7,3,7,1,2,4,5,9,3,5,1,2,9,5,8,10,3
06085501900,3,3,0,0,0,0,0,1,1,1,0,1,1,2,2,0,1,9,3,1,0,3,4,3,6,3,0
06085502001,0,11,1,0,2,0,1,0,0,2,0,3,0,0,1,8,11,5,2,2,3,3,9,7,1,3,3
06085502002,1,0,0,2,1,1,1,2,0,1,1,0,3,5,0,0,9,7,1,1,2,0,6,4,0,7,0
06085502101,1,0,2,0,3,0,0,1,1,1,0,0,1,2,0,0,1,3,1,1,0,4,2,10,10,8,1
06085502102,3,3,2,0,1,0,1,0,0,3,1,3,0,1,5,3,5,3,0,2,1,3,5,2,2,2,1
06085502201,1,0,3,0,1,0,0,0,1,3,1,0,1,0,1,1,2,4,1,0,0,0,0,0,2,1,0
06085502202,3,10,1,3,0,1,3,1,1,4,3,2,2,1,1,0,2,3,1,0,0,2,2,3,1,3,1
06085502301,1,3,1,1,0,1,4,1,2,4,0,2,1,3,2,3,1,2,4,0,0,1,2,3,3,2,1
06085502302,3,0,0,1,1,0,0,2,1,1,1,3,1,0,1,2,4,1,3,1,0,1,1,4,2,1,2
06085502400,5,7,3,2,3,1,6,5,9,6,6,4,10,4,4,6,8,8,4,2,5,5,6,9,7,8,3
06085502500,2,9,9,0,3,5,1,4,2,6,5,7,0,3,1,8,9,9,5,2,3,4,2,6,5,7,3
06085502601,0,3,1,0,1,0,0,0,1,0,3,2,0,0,0,1,1,1,2,1,0,1,1,1,1,1,1
06085502603,2,3,0,3,0,0,1,0,0,0,1,2,0,0,0,2,2,0,0,2,0,0,0,3,1,1,0
06085502604,0,7,1,1,0,2,2,0,1,0,3,2,0,3,0,0,1,4,0,1,0,1,0,5,4,1,0
06085502701,4,3,0,3,1,0,1,2,1,0,4,3,0,2,1,4,5,5,2,0,3,0,3,5,2,2,1
06085502702,2,7,6,6,4,2,1,5,2,3,6,7,4,1,1,6,6,2,7,2,2,5,5,8,7,3,2
06085502800,1,2,0,2,0,3,1,5,3,1,4,1,3,0,0,0,1,3,1,3,5,1,2,1,7,7,0
06085502901,1,3,2,3,0,1,1,0,3,1,1,1,3,4,2,0,2,2,2,4,2,2,2,4,2,4,0
06085502902,2,5,3,2,1,1,3,4,0,2,4,3,8,0,3,1,8,5,2,2,3,8,8,7,8,10,8
06085502903,0,2,3,2,2,0,1,1,2,2,0,2,1,1,1,6,6,5,3,4,1,3,2,7,7,6,1
06085502906,3,2,4,3,0,0,2,0,3,2,2,1,3,0,3,4,7,3,6,3,2,4,2,2,10,1,0
06085502907,1,5,0,1,2,0,0,1,0,0,2,1,2,0,4,5,1,2,3,3,2,0,2,2,3,3,1
06085502908,1,7,1,1,2,1,10,5,3,1,3,3,1,2,2,1,7,6,4,4,4,1,8,3,8,4,3
06085502909,0,9,2,1,1,1,2,3,3,1,3,2,3,1,2,4,4,7,3,3,3,6,3,8,3,2,3
06085502910,1,2,2,2,1,0,0,2,2,1,0,2,2,0,0,2,6,3,4,0,1,1,2,2,3,0,3
06085503001,0,7,1,1,0,0,2,0,1,4,4,3,3,0,0,1,4,2,2,1,0,2,2,5,6,5,2
06085503002,0,3,1,0,1,0,2,0,0,0,1,0,3,0,1,0,0,1,3,4,0,4,1,4,5,0,0
06085503003,1,6,1,3,1,1,2,2,3,4,1,1,3,4,0,0,5,3,0,0,1,1,4,3,4,3,1
06085503105,1,1,0,0,1,0,0,1,0,0,0,1,2,2,0,1,0,5,3,0,0,0,3,1,0,2,0
06085503108,1,2,0,0,0,0,0,0,1,2,0,0,4,2,3,0,4,6,2,1,0,4,6,3,3,5,4
06085503110,1,6,5,2,0,0,1,1,2,2,9,5,4,13,3,1,5,9,2,2,0,2,4,3,2,2,0
06085503111,0,5,1,1,1,1,3,1,2,5,7,6,2,2,3,2,3,11,5,4,3,11,11,13,10,4,2
06085503112,1,0,1,1,0,2,1,1,3,14,3,1,1,3,1,0,8,6,5,2,0,2,2,4,3,2,2
06085503113,2,5,1,0,0,2,0,0,2,1,3,0,4,1,1,5,3,5,6,0,0,1,4,11,2,2,1
06085503115,0,1,0,0,0,0,1,0,0,2,0,2,0,0,0,2,4,21,19,3,4,8,15,10,6,6,3
06085503116,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,2,3,0,1,1,1,3,1,2,0,1
06085503117,1,7,0,0,1,3,1,1,0,1,0,2,1,2,0,1,4,2,1,1,0,2,6,4,1,1,1
06085503118,0,2,2,0,3,0,2,0,1,4,1,4,2,1,1,2,9,6,2,0,0,5,7,6,10,5,0
06085503121,2,3,0,0,0,0,1,4,1,0,0,2,4,0,1,1,7,7,3,1,1,4,7,3,7,2,2
06085503122,0,2,2,0,0,0,1,1,1,1,1,1,5,1,3,1,0,4,0,0,1,4,4,2,1,2,0
06085503123,1,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,3,1,0,2,2,3,2,0,1
06085503204,0,8,8,1,0,1,1,1,1,3,5,8,7,3,3,6,7,20,4,2,2,15,21,16,17,9,4
06085503207,2,2,2,1,2,0,0,5,1,4,0,2,4,3,0,2,6,9,0,2,1,3,5,6,9,5,1
06085503208,2,4,5,0,0,0,1,2,0,2,4,1,1,1,1,2,8,8,4,0,0,11,13,4,7,2,1
06085503210,3,15,3,1,1,0,1,2,1,4,1,7,1,4,1,1,4,5,1,1,2,8,15,6,7,1,0
06085503211,0,0,0,1,0,0,1,0,2,1,3,3,1,1,2,0,2,3,1,2,0,10,9,11,6,3,1
06085503212,0,2,0,0,1,3,1,0,1,2,3,2,3,2,2,1,4,4,3,1,3,3,6,7,9,1,4
06085503213,0,2,2,0,0,2,0,1,3,1,2,3,7,4,5,1,5,4,3,1,0,4,7,5,1,1,0
06085503214,0,1,0,1,0,1,0,1,0,0,0,2,1,1,2,1,1,1,3,2,1,9,5,6,3,1,0
06085503217,7,12,8,4,2,1,6,5,3,3,9,11,16,9,6,5,5,12,11,2,5,19,15,13,7,5,2
06085503218,0,2,5,3,1,1,1,1,2,1,0,1,2,0,2,2,2,11,0,0,0,12,9,6,6,1,2
06085503304,0,11,7,7,0,1,0,2,3,1,7,7,9,6,4,1,4,12,6,1,2,10,15,7,11,5,4
06085503305,2,8,1,0,0,0,1,4,0,2,1,2,2,2,3,7,10,9,5,3,3,8,13,14,12,3,1
06085503306,0,0,4,0,0,1,1,0,0,0,4,1,2,5,3,1,5,6,4,1,0,9,7,5,1,6,0
06085503312,0,2,2,2,1,0,1,2,0,0,3,2,1,2,2,0,1,2,0,3,5,5,8,4,6,2,1
06085503313,3,8,2,2,0,2,1,1,2,1,2,2,2,1,1,3,4,5,1,2,3,6,5,2,6,4,0
06085503315,0,6,1,1,3,0,1,4,2,2,3,3,6,3,0,6,9,6,5,1,3,9,16,7,4,5,2
06085503321,10,14,0,0,0,1,4,1,1,0,2,4,1,0,0,1,3,7,1,0,1,3,5,4,2,4,0
06085503322,1,2,1,2,0,0,1,3,1,0,2,2,0,3,1,4,7,5,5,1,3,7,9,2,7,8,1
06085503323,1,0,2,0,1,1,2,0,1,4,8,1,2,1,1,2,6,8,6,0,0,3,8,11,1,3,1
06085503324,0,4,1,1,2,1,0,1,0,2,0,4,2,1,0,2,4,1,2,0,0,3,7,3,4,1,1
06085503325,3,8,4,1,1,1,0,0,1,2,3,2,3,5,3,1,6,5,1,0,4,8,10,5,10,1,2
06085503326,2,1,0,3,2,0,1,1,0,1,0,2,4,6,2,1,6,10,4,5,0,2,6,4,2,8,1
06085503327,1,6,1,0,1,1,1,2,0,4,2,5,2,6,1,4,6,4,4,0,1,4,10,6,5,4,3
06085503329,1,2,0,0,0,2,0,0,0,3,2,1,0,2,1,2,5,3,2,2,0,0,5,2,2,4,1
06085503330,0,1,4,0,0,1,1,1,1,4,5,3,0,3,3,3,6,9,10,4,2,3,3,3,4,0,0
06085503331,0,6,1,2,2,1,2,1,2,2,1,1,0,1,1,3,6,3,2,1,0,2,4,3,2,2,1
06085503332,1,4,5,1,1,2,0,3,0,2,5,4,1,0,4,2,6,1,4,0,0,2,1,3,1,3,0
06085503333,0,5,3,2,2,2,2,1,2,0,3,3,8,3,2,6,4,4,6,3,2,5,8,6,5,3,2
06085503334,0,0,0,0,0,1,3,16,29,17,5,11,8,3,5,3,13,21,3,4,1,2,5,11,4,8,0
06085503336,3,9,2,3,0,1,4,1,3,1,3,3,3,2,4,1,6,9,6,4,1,4,8,7,2,4,2
06085503337,0,2,1,0,0,0,0,1,1,2,1,2,2,1,0,3,3,5,1,0,1,3,5,1,4,2,1
06085503401,1,5,0,1,0,0,2,8,3,2,1,2,5,2,5,6,10,10,6,2,0,12,12,13,8,4,1
06085503402,2,4,0,0,1,0,1,0,1,1,3,3,1,3,1,1,3,5,4,1,1,6,7,4,8,4,3
06085503504,0,1,5,0,0,1,0,8,2,1,2,4,3,1,4,5,7,9,6,1,3,15,17,14,13,5,1
06085503506,7,5,2,0,0,0,0,4,2,2,1,1,4,4,2,3,7,4,2,1,1,11,10,11,7,5,1
06085503507,1,1,0,0,2,1,0,2,1,0,2,0,0,0,1,0,2,6,2,1,2,5,4,8,4,2,2
06085503508,3,6,1,2,0,1,1,3,1,2,0,3,5,2,4,4,1,13,5,4,4,16,19,14,12,5,2
06085503509,1,4,0,0,1,1,0,0,3,1,1,1,5,4,1,6,3,7,6,4,3,6,6,9,4,3,1
06085503510,1,7,0,1,0,2,2,2,2,0,1,3,9,1,2,2,8,13,12,2,8,14,8,15,14,1,2
06085503511,1,1,1,0,3,1,1,3,1,1,1,2,3,0,0,2,5,6,1,2,3,11,5,6,4,3,0
06085503601,0,0,2,1,0,0,2,0,0,0,0,2,4,0,1,0,2,4,0,0,0,0,4,2,3,1,2
06085503602,1,1,0,1,0,1,0,0,2,0,2,2,0,2,0,3,6,6,4,1,1,6,10,2,6,1,2
06085503703,0,4,2,0,0,0,0,2,1,0,1,2,2,1,4,2,2,3,1,3,0,7,10,8,5,0,0
06085503707,0,8,9,5,2,0,1,0,3,3,3,7,10,7,5,2,13,22,6,1,5,18,25,7,10,6,0
06085503708,0,4,0,2,0,0,26,2,0,2,3,2,1,1,0,3,1,3,2,1,1,3,1,4,2,4,1
06085503709,0,0,0,1,0,0,1,0,1,0,0,0,5,1,1,2,2,0,4,2,3,6,2,0,5,3,0
06085503710,2,1,0,0,0,0,1,1,2,0,2,1,2,1,3,1,2,6,0,0,3,2,4,4,0,0,1
06085503711,0,1,0,0,0,0,2,0,0,1,2,0,3,2,1,1,1,2,2,0,1,3,5,2,4,1,2
06085503712,2,10,2,0,0,1,1,0,1,0,2,1,6,0,3,5,5,6,0,2,2,6,2,4,5,3,3
06085503713,0,2,2,1,0,0,0,3,1,4,2,4,5,2,1,1,4,10,5,2,1,1,3,5,6,4,0
06085503802,3,7,3,0,0,1,1,4,0,2,5,3,6,4,1,2,11,6,3,1,3,8,8,10,6,5,3
06085503803,0,8,0,1,0,1,1,2,0,1,4,2,6,0,1,2,2,9,2,3,4,4,6,4,4,3,1
06085503804,1,5,2,0,1,1,1,2,1,1,3,6,4,4,2,3,6,9,3,0,1,5,9,4,5,4,1
06085503902,0,2,4,1,1,1,1,1,2,12,1,0,5,1,4,8,5,7,4,0,3,6,5,8,6,5,2
06085503903,0,2,21,0,1,0,1,3,0,1,0,0,0,1,1,2,4,4,6,1,3,5,14,2,8,1,2
06085504001,5,2,2,0,2,2,3,0,4,2,2,3,4,4,0,1,5,6,1,2,0,12,9,16,6,4,3
06085504002,1,9,0,1,0,2,1,1,1,0,2,1,5,2,0,3,15,14,5,3,1,9,17,9,9,3,2
06085504101,4,2,1,4,1,2,4,0,3,1,1,1,3,2,1,1,3,6,3,3,1,5,8,6,4,7,3
06085504102,2,6,1,1,4,0,2,2,1,3,1,5,9,4,2,5,13,9,2,3,0,6,25,9,7,6,1
06085504201,4,3,1,1,2,0,3,0,1,0,0,2,2,4,2,2,5,4,1,2,2,5,5,6,5,5,1
06085504202,3,1,0,1,5,2,2,0,2,4,1,4,2,1,4,1,2,6,5,1,4,3,9,2,4,4,2
06085504307,2,8,2,3,2,4,2,5,0,3,5,3,3,0,3,2,5,2,0,2,2,7,7,6,7,6,1
06085504308,1,2,3,2,1,0,1,0,2,0,1,5,4,2,1,3,3,3,2,0,0,2,6,5,7,8,0
06085504311,9,24,13,5,13,28,3,2,4,6,6,6,5,2,3,6,6,7,3,4,0,3,7,6,6,9,0
06085504314,0,1,1,0,0,1,0,1,3,24,1,2,1,0,2,1,3,1,1,1,1,2,2,8,2,3,0
06085504315,1,7,1,1,1,0,5,0,6,4,7,3,5,5,5,1,9,12,5,3,0,3,5,9,5,3,3
06085504316,0,5,5,3,0,2,0,1,0,1,5,4,4,3,3,4,4,7,3,3,1,8,10,7,6,3,0
06085504317,1,4,1,2,0,3,4,2,1,0,2,1,6,0,1,2,2,3,3,0,1,3,4,2,4,6,0
06085504318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0
06085504319,1,3,2,1,0,0,0,1,0,5,4,6,5,3,2,3,3,4,7,1,5,5,8,4,4,2,1
06085504320,1,2,1,1,1,0,1,0,0,2,2,2,0,0,0,1,0,5,2,1,1,0,5,1,4,1,3
06085504321,1,5,0,0,2,0,4,0,1,3,3,2,6,2,1,1,3,3,1,2,0,2,13,12,4,0,2
06085504322,0,0,0,0,1,14,5,4,0,1,4,7,2,2,0,1,1,3,1,1,3,1,5,2,2,4,0
06085504323,2,2,1,0,0,1,1,5,7,2,0,5,3,0,2,1,4,2,4,0,2,4,6,8,5,5,3
06085504410,0,2,1,0,1,1,1,2,1,1,3,1,2,1,0,4,3,4,0,2,1,5,7,5,5,6,0
06085504411,1,5,0,2,0,5,4,2,6,4,3,5,3,2,1,2,9,4,3,0,0,5,6,7,4,1,5
